id_karte,subtype
19748,
19934,Dragon
360,Swamp
360,Mountain
404,Island
404,Mountain
395,Swamp
395,Forest
407,Forest
407,Plains
378,Plains
378,Island
19695,Wurm
362,
366,
19936,Demon
19822,
19876,
19846,
19921,
19716,
19898,
19721,
19781,
386,Zombie
386,Elf
396,Rat
19756,Dryad
19779,
392,Dragon
392,Wizard
363,Fungus
19710,Vraska
19752,
19927,Wurm
400,
19932,
19776,
19749,Demon
19717,
19778,Vampire
19766,Angel
19861,
19775,
19880,
19788,
19835,Aura
390,
19783,
19751,
19937,
19928,Human
19928,Advisor
385,Jace
19849,Illusion
19849,Wall
1796,Trap
1799,
1844,
1691,
1891,
1897,
1678,
1718,
1792,
1676,Trap
1714,
1692,Vampire
1692,Spirit
1808,Nissa
1785,
1899,Goblin
1899,Berserker
1764,Vampire
1764,Warrior
1858,Sorin
1811,Demon
1814,Elf
1814,Shaman
1756,
1719,
1839,Elemental
1748,Crab
1702,Chandra
1707,
1686,Equipment
1731,Goblin
1731,Scout
1787,
1837,
1751,Dragon
1685,
1881,Equipment
1784,Merfolk
1784,Wizard
1783,Snake
1782,Octopus
1677,
1720,
1842,
1690,
1723,Cat
1723,Beast
1709,
1701,Aura
1717,Angel
1817,
1789,Vampire
1789,Shaman
1898,
1865,Aura
1833,Beast
1845,Insect
1812,Elemental
1760,
1730,Goblin
1730,Warrior
1736,Equipment
1695,
1706,Merfolk
1706,Wizard
1888,Elf
1888,Scout
1888,Ally
1847,Merfolk
1847,Wizard
1847,Ally
1746,
1763,Human
1763,Cleric
1763,Ally
1761,
1726,Vampire
1726,Warrior
1884,Equipment
1705,
1904,Avatar
1826,
1762,
1768,
1776,Kor
1776,Soldier
1869,Trap
1729,Aura
1737,
1825,
1827,
1862,Sphinx
1675,
1766,
1850,
1894,Vampire
1894,Shaman
1741,Specter
1860,
1892,Vampire
1892,Shaman
1679,Kor
1679,Soldier
1682,Trap
1739,Elf
1739,Druid
1744,Ogre
1744,Shaman
1744,Ally
1767,Minotaur
1767,Warrior
1767,Ally
1769,
1877,Beast
1722,
1745,Demon
1829,
1832,
1861,Sphinx
1689,Vampire
1689,Shaman
1715,
1765,Human
1765,Soldier
1765,Ally
1779,Trap
1673,Equipment
1681,Human
1681,Rogue
1681,Ally
1712,Kor
1712,Cleric
1834,Trap
1674,Illusion
1696,
1820,
1886,Basilisk
1700,
1721,Equipment
1732,Goblin
1732,Shaman
1742,Vampire
1742,Rogue
1772,Kor
1772,Soldier
1813,Kor
1813,Cleric
1813,Ally
1716,
1738,Antelope
1824,Aura
1831,
1838,Snake
1725,Elf
1725,Scout
1750,Elemental
1750,Hound
1778,
1803,Human
1803,Shaman
1803,Ally
1828,
1866,Cat
1895,
1680,Trap
1697,Merfolk
1697,Wizard
1755,
1771,Kor
1771,Scout
1790,
1800,Fungus
1800,Beast
1841,Trap
1883,
1683,Beast
1774,Kor
1774,Soldier
1805,Trap
1807,Aura
1809,Elf
1809,Warrior
1815,Spider
1846,Cat
1852,Angel
1859,
1863,Equipment
1740,
1794,Merfolk
1794,Scout
1830,
1848,Merfolk
1848,Wizard
1848,Ally
1875,
1890,
1704,Trap
1735,Jellyfish
1777,Kraken
1840,Minotaur
1840,Warrior
1743,Crocodile
1754,Trap
1780,Trap
1781,Elemental
1810,Spirit
1843,Aura
1849,
1878,Beast
1885,Goblin
1885,Warrior
1885,Ally
1906,Elemental
1710,
1711,
1798,Aura
1801,Elemental
1836,
1853,
1856,
1864,
1871,Surrakar
1882,
1684,
1786,
1797,Zombie
1851,Giant
1851,Warrior
1855,Drake
1687,Boar
1703,Kor
1703,Scout
1818,Aura
1896,Wurm
1900,Bird
18525,
18549,
18528,
18500,
18593,
18592,
18571,Spike
18494,Elf
18494,Druid
18568,Human
18568,Cleric
18577,
18574,
18503,
18512,
18529,Elf
18529,Druid
18531,
18566,Soltari
18566,Soldier
18507,Wurm
18570,Spike
18506,
18514,Aura
18553,Aura
18560,Elf
18547,Goblin
18547,Berserker
18513,
18502,Aura
18584,
18498,
18509,Human
18509,Wizard
18505,
18518,
18591,Drake
18541,Zombie
18561,Vampire
18565,
18508,
18550,
18552,
18526,Lhurgoyf
18511,Elf
18558,Faerie
18581,
