id_karte,supertype
19748,
19934,
360,
404,
395,
407,
378,
19695,
362,
366,
19936,Legendary
19822,
19876,
19846,
19921,
19716,
19898,
19721,
19781,
386,Legendary
396,
19756,Legendary
19779,
392,Legendary
363,
19710,Legendary
19752,
19927,
400,
19932,
19776,
19749,
19717,
19778,
19766,
19861,
19775,
19880,
19788,
19835,
390,
19783,
19751,
19937,
19928,
385,Legendary
19849,
1796,
1799,
1844,
1691,
1891,
1897,
1678,
1718,
1792,
1676,
1714,
1692,
1808,Legendary
1785,
1899,
1764,Legendary
1858,Legendary
1811,Legendary
1814,
1756,Legendary
1719,
1839,
1748,
1702,Legendary
1707,
1686,
1731,
1787,
1837,
1751,
1685,
1881,
1784,
1783,
1782,Legendary
1677,
1720,
1842,
1690,
1723,
1709,
1701,
1717,
1817,
1789,
1898,
1865,
1833,
1845,
1812,
1760,
1730,
1736,
1695,
1706,
1888,
1847,
1746,
1763,
1761,
1726,
1884,
1705,
1904,
1826,
1762,
1768,
1776,
1869,
1729,
1737,
1825,
1827,
1862,
1675,
1766,
1850,
1894,
1741,
1860,
1892,
1679,
1682,
1739,
1744,
1767,
1769,
1877,
1722,
1745,
1829,
1832,
1861,
1689,
1715,
1765,
1779,
1673,
1681,
1712,
1834,
1674,
1696,
1820,
1886,
1700,
1721,
1732,
1742,
1772,
1813,
1716,
1738,
1824,
1831,
1838,
1725,
1750,
1778,
1803,
1828,
1866,
1895,
1680,
1697,
1755,
1771,
1790,
1800,
1841,
1883,
1683,
1774,
1805,
1807,
1809,
1815,
1846,
1852,
1859,
1863,
1740,
1794,
1830,
1848,
1875,
1890,
1704,
1735,
1777,
1840,
1743,
1754,
1780,
1781,
1810,
1843,
1849,
1878,
1885,
1906,
1710,
1711,
1798,
1801,
1836,
1853,
1856,
1864,
1871,
1882,
1684,
1786,
1797,
1851,
1855,
1687,
1703,
1818,
1896,
1900,
18525,
18549,
18528,
18500,
18593,
18592,
18571,
18494,
18568,
18577,
18574,
18503,
18512,
18529,
18531,
18566,
18507,
18570,
18506,
18514,
18553,
18560,
18547,
18513,
18502,
18584,
18498,
18509,
18505,
18518,
18591,
18541,
18561,
18565,
18508,
18550,
18552,
18526,
18511,
18558,
18581,
18492,
18499,
18540,
18548,
18535,
18551,
18493,
18515,
18586,
18522,
18537,
18562,
18534,
18545,
18501,
18504,
18510,
18519,
18530,
18567,
18569,
18575,
18580,
18495,
18497,
18588,
18556,
18582,
18583,
18578,
18557,
18564,
18573,
18489,
18579,
18587,
18516,
18538,
18539,
18533,
18572,
18520,
18585,
18546,
18496,
18521,
18544,
18554,
18559,
18563,
18589,
18590,
18542,
18527,
18555,
18490,
18491,
18523,
18532,
74742,
74780,
74747,
74723,Legendary
74730,Legendary
74774,
74761,
74781,
74783,Legendary
74750,
74736,Legendary
74741,
74745,
74765,Legendary
74767,
74751,
74769,
74790,Legendary
74754,Legendary
74738,Legendary
74749,Legendary
74752,
74729,Legendary
74294,
74796,Legendary
74766,
74775,
74744,
74762,
74801,
74791,
74792,
74733,
74776,
74784,
74740,Legendary
74724,
74725,
74743,
74786,Legendary
74739,
74758,Legendary
74779,
74734,
74735,
74794,
74728,Legendary
74732,
74746,
74731,
74770,Legendary
74759,
74764,Legendary
74782,
74793,
74789,
74772,
74737,
74771,
74768,
74748,
74797,
74763,Legendary
74785,
74800,
74755,
74726,
74753,
74798,
74795,
74760,
74773,
74757,
74788,
74799,
74727,
74778,
74756,
74777,
74787,
74293,
74297,
74295,
74296,
75283,
75339,
75284,
75316,
75295,
75305,
75338,Legendary
75306,
75286,
75327,
75341,
75340,
75328,
75297,
75293,
75285,
75331,
75342,
75354,
75287,
75344,Legendary
75319,
75329,
75308,
75296,
75353,
75334,
75332,
75298,
75355,
75289,
75343,
75299,
75315,
75318,
75288,
75345,Legendary
75333,
75307,
75346,
75320,
75347,
75309,
75301,
75291,
75321,
75310,
75330,
75348,
75349,Legendary
75335,
75351,
75312,
75322,
75292,
75350,
75323,
75337,
75324,
75300,
75302,
75290,
75303,
75356,
75294,
75325,
75304,
75352,Legendary
75326,
75336,
75311,
75313,
75357,
75314,
75317,
73649,
73636,
73905,
73651,
73646,
73644,
74098,
73648,
73907,Legendary
73904,Legendary
74038,Legendary
73910,Legendary
74265,
73639,
73633,
73642,
73628,
74283,
73930,Legendary
73944,Legendary
73952,
73932,Legendary
73942,
73908,Legendary
73931,Legendary
74056,
73935,Legendary
73940,Legendary
73937,Legendary
74259,
74171,
74255,
73934,Legendary
74168,
74422,
74423,Legendary
74179,
74048,
74260,
73650,
73933,Legendary
73955,
74170,
73912,
74252,
74107,Legendary
73946,
74050,
74055,
74173,
74269,
74364,
74258,
74188,
74172,
73968,
73906,Legendary
74053,Legendary
74049,
74036,
74183,Legendary
74308,
73957,Legendary
74270,
74278,
74239,
74257,
74041,Legendary
74034,
74281,
74237,Legendary
74310,
74247,
74174,
73899,
74280,
74262,
74052,
74105,
74031,
74309,
74234,
74263,
74175,
74177,
73997,
73914,
73915,
73897,
73766,
74314,Legendary
73653,
73900,
73903,
73901,
73898,
73959,Legendary
73949,
73902,
74275,Legendary
73799,
73948,
74051,
74272,
73918,
74178,Legendary
74176,
74110,
74187,Legendary
74311,
74276,
74101,
74312,
74313,
74315,
74317,
74316,
74318,
74319,Legendary
74320,
74321,
74322,
73941,Legendary
74323,
74054,Legendary
74325,Legendary
74326,Legendary
74324,
74424,Legendary
76174,
74327,
74328,
74331,Legendary
74330,Legendary
76801,Legendary
74336,Legendary
74332,
74334,
74335,
74337,
74338,Legendary
74339,
73947,Legendary
74340,
74341,
74273,
74342,Legendary
74343,Legendary
74345,Legendary
74344,
74346,Legendary
74347,
74348,
74350,Legendary
74256,
74277,
74353,
74354,
78220,
74261,
74349,Legendary
74352,
73943,Legendary
73945,Legendary
74355,
74357,
74356,Legendary
73857,
74096,
73609,
73602,
73608,
73615,
73862,Legendary
74037,Legendary
73612,
74267,
74282,
74068,
73668,Legendary
73859,
73939,
73865,Legendary
73864,Legendary
74266,
73666,Legendary
74169,
73938,Legendary
73843,
73667,Legendary
74132,
74141,
74250,
74254,
74368,Legendary
73858,Legendary
74140,
73600,
74111,
74046,
73868,
73853,Legendary
74167,
74069,
74146,
74251,
73950,
74411,
73860,
74043,
74376,
74103,Legendary
74145,
73967,
73854,Legendary
74268,
75418,
74372,
74181,Legendary
74410,
74074,
74186,
73866,
73998,
74077,
74150,
73956,Legendary
74391,
74128,
74045,
74073,Legendary
74264,
74035,
74061,
74060,
74246,
74062,
75419,
73765,
74032,
74189,
74033,
74164,
74157,
74147,
74129,
74387,
74155,
73844,
74039,Legendary
74279,
74137,
74143,
73951,
74235,Legendary
74238,
74097,
74375,
74180,
75417,
74112,
74253,
73971,
74195,
73909,
73869,
73861,
74359,
74104,
73732,
74161,
74414,
74136,
74163,Legendary
74233,
74131,
74075,
74102,
73954,
73850,
74160,
73847,
73996,
73963,
74388,
73863,
74064,
74162,Legendary
74156,
73733,
74139,
74193,
73652,
73849,
73798,
74249,
73958,Legendary
74066,
74245,
73845,
74243,
74042,
74076,
74154,
73856,
73852,
73999,
74396,
74059,
74333,Legendary
73964,
74159,
74114,
73965,
74192,
74106,
73851,
74063,
74403,
74070,
74142,
73966,
74399,
74360,
74244,
74113,
74151,
74194,
74401,
74362,
74095,
74190,
74379,
74367,
74241,
74057,
74369,
74408,
74365,
74413,
74133,
73842,
74378,
74240,
73969,
74370,
73846,
73953,
74371,
74274,
74182,
74415,
74134,
74400,
74382,
74135,
74040,
74405,
74079,
74100,
74386,
74058,
74421,
74416,
74191,
74078,
74374,
75075,
74933,
74229,Legendary
74228,Legendary
75065,
74924,
74578,
75108,
74806,
74921,
74656,
74946,
74654,
75064,
74942,
74945,
75057,
75083,
74622,
74892,
74835,
74810,
74619,
74837,
75013,
75072,
74614,
74873,
74538,
74955,Legendary
75067,
75018,
74917,
74849,
74565,
74820,
74926,
74604,
74914,
74997,
75098,
75069,
74675,
75085,
74624,
74855,
75066,
74891,
74564,
74938,
74862,
74956,Legendary
75091,Legendary
74896,
74302,Legendary
74610,
75077,
75071,
74580,
74882,
74888,
74527,
74651,
74860,
74596,
75104,
74567,
74864,
74879,
74543,
75106,
74904,
74911,
75056,
74826,
74889,
75080,
74575,
74576,
75061,
74817,
74617,
74853,
74568,
74525,
74842,
74597,
74934,
74824,
75003,
74639,
74828,
74845,
75089,
74807,
74306,Legendary
74612,
74561,
74894,
74886,
74572,
74672,
75053,
74579,
74918,
74581,
74541,
74660,
74577,
74646,
74832,
74640,
74872,
74954,Legendary
74984,
74902,
75087,Legendary
74227,
73913,Legendary
74585,
74542,
74598,
74669,
75063,
74868,
75014,
74865,
74885,
74854,
75092,Legendary
74573,
74866,
74653,
74869,
74664,
74559,Legendary
74992,Legendary
74809,
74680,
74916,
74562,Legendary
75102,Legendary
74632,
74670,
75070,
74968,Legendary
74990,
74976,Legendary
