id_karte,ime,set,redkost,povprecna_cena,povprecna_cena_foil
19748,Cyclonic Rift,RTR,Rare,$38.00,$57.99
19934,Utvara Hellkite,RTR,Mythic,$19.53,$57.44
360,Blood Crypt,RTR,Rare,$19.99,$34.37
404,Steam Vents,RTR,Rare,$18.63,$38.61
395,Overgrown Tomb,RTR,Rare,$13.99,$25.72
407,Temple Garden,RTR,Rare,$13.37,$22.10
378,Hallowed Fountain,RTR,Rare,$11.73,$29.89
19695,Worldspine Wurm,RTR,Mythic,$10.37,$19.54
362,Chromatic Lantern,RTR,Rare,$9.95,$18.23
366,Dreadbore,RTR,Rare,$7.51,$15.99
19936,"Rakdos, Lord of Riots",RTR,Mythic,$7.94,$12.35
19822,Deathrite Shaman,RTR,Rare,$7.20,$44.23
19876,Rest in Peace,RTR,Rare,$7.25,$16.03
22636,Dragon Token,RTR,Token,$6.69,N/A
19846,Grave Betrayal,RTR,Rare,$2.53,$6.59
19921,Vandalblast,RTR,Uncommon,$4.89,$17.41
19716,Abrupt Decay,RTR,Rare,$4.06,$13.73
19898,Sphere of Safety,RTR,Uncommon,$3.80,$9.99
19721,Supreme Verdict,RTR,Rare,$4.35,$13.49
19781,Sphinx's Revelation,RTR,Mythic,$2.49,$9.57
386,"Jarad, Golgari Lich Lord",RTR,Mythic,$2.31,$9.99
396,Pack Rat,RTR,Rare,$2.24,$6.36
19756,"Trostani, Selesnya's Voice",RTR,Mythic,$1.75,$9.96
22644,Wurm Token,RTR,Token,$1.19,N/A
19779,Pithing Needle,RTR,Rare,$1.11,$4.74
392,"Niv-Mizzet, Dracogenius",RTR,Mythic,$1.00,$4.33
363,Corpsejack Menace,RTR,Rare,$0.99,$1.25
19710,Vraska the Unseen,RTR,Mythic,$1.29,$7.49
19752,Jarad's Orders,RTR,Rare,$0.99,$3.25
19927,Armada Wurm,RTR,Mythic,$0.94,$2.33
400,Rakdos's Return,RTR,Mythic,$1.00,$4.91
19932,Golgari Charm,RTR,Uncommon,$0.83,$3.94
19776,Detention Sphere,RTR,Rare,$0.99,$5.00
19749,Desecration Demon,RTR,Rare,$0.66,$1.89
19717,Collective Blessing,RTR,Rare,$0.73,$1.24
19778,Necropolis Regent,RTR,Mythic,$0.99,$8.88
19766,Angel of Serenity,RTR,Mythic,$0.89,$14.99
22633,Assassin Token,RTR,Token,$0.55,N/A
19861,Mana Bloom,RTR,Rare,$0.50,$2.50
19775,Counterflux,RTR,Rare,$0.70,$2.96
19880,Rogue's Passage,RTR,Uncommon,$0.55,$7.16
19788,Rakdos Charm,RTR,Uncommon,$0.50,$5.75
19835,Ethereal Armor,RTR,Common,$0.50,$5.99
390,Mizzium Mortars,RTR,Rare,$0.50,$2.43
19783,Tablet of the Guilds,RTR,Uncommon,$0.40,$5.81
19751,Growing Ranks,RTR,Rare,$0.50,$1.74
19937,Shrieking Affliction,RTR,Uncommon,$0.50,$3.49
19928,Azor's Elocutors,RTR,Rare,$0.48,$1.32
385,"Jace, Architect of Thought",RTR,Mythic,$0.88,$3.13
19849,Hover Barrier,RTR,Uncommon,$0.45,$2.80
1796,Mindbreak Trap,ZEN,Mythic,$35.98,$205.74
1799,Misty Rainforest,ZEN,Rare,$27.08,$90.00
1844,Scalding Tarn,ZEN,Rare,$29.99,$106.77
1691,Bloodchief Ascension,ZEN,Rare,$22.00,$40.99
1891,"Valakut, the Molten Pinnacle",ZEN,Rare,$21.13,$35.07
1897,Verdant Catacombs,ZEN,Rare,$19.95,$79.95
1678,Arid Mesa,ZEN,Rare,$20.00,$65.42
1718,"Emeria, the Sky Ruin",ZEN,Rare,$15.12,$41.39
1792,Marsh Flats,ZEN,Rare,$15.64,$48.84
1676,Archive Trap,ZEN,Rare,$13.86,$39.30
1714,Eldrazi Monument,ZEN,Mythic,$11.00,$30.22
1692,Bloodghast,ZEN,Rare,$11.43,$36.31
1808,Nissa Revane,ZEN,Mythic,$9.57,$16.48
1785,Luminarch Ascension,ZEN,Rare,$10.08,$24.12
1899,Warren Instigator,ZEN,Mythic,$8.86,$16.50
1764,"Kalitas, Bloodchief of Ghet",ZEN,Mythic,$9.15,$19.97
1858,Sorin Markov,ZEN,Mythic,$9.46,$49.81
1811,"Ob Nixilis, the Fallen",ZEN,Mythic,$8.89,$22.15
1814,Oracle of Mul Daya,ZEN,Rare,$8.92,$75.47
1756,"Iona, Shield of Emeria",ZEN,Mythic,$7.13,$38.48
1719,Eternity Vessel,ZEN,Mythic,$6.74,$12.31
1839,Roil Elemental,ZEN,Rare,$7.00,$15.00
1748,Hedron Crab,ZEN,Uncommon,$5.79,$30.00
1702,Chandra Ablaze,ZEN,Mythic,$5.89,$70.18
1707,Crypt of Agadeem,ZEN,Rare,$5.00,$17.76
1686,Blade of the Bloodchief,ZEN,Rare,$4.83,$22.05
1731,Goblin Guide,ZEN,Rare,$4.99,$12.99
1787,"Magosi, the Waterveil",ZEN,Rare,$4.50,$30.24
1837,Rite of Replication,ZEN,Rare,$4.35,$26.10
1751,Hellkite Charger,ZEN,Rare,$4.26,$5.87
1685,Beastmaster Ascension,ZEN,Rare,$4.92,$29.00
1881,Trailblazer's Boots,ZEN,Uncommon,$3.43,$8.23
1784,Lullmage Mentor,ZEN,Rare,$3.50,$16.45
1783,Lotus Cobra,ZEN,Mythic,$3.64,$22.62
22743,Vampire Token,ZEN,Token,$3.30,N/A
1782,"Lorthos, the Tidemaker",ZEN,Mythic,$2.77,$15.00
1677,Archmage Ascension,ZEN,Rare,$2.64,$8.64
1720,Expedition Map,ZEN,Common,$2.59,$18.94
1842,Sadistic Sacrament,ZEN,Rare,$1.98,$6.16
1690,Blood Tribute,ZEN,Rare,$2.25,$8.56
1723,Felidar Sovereign,ZEN,Mythic,$2.19,$10.04
1709,Day of Judgment,ZEN,Rare,$2.24,$3.96
1701,Celestial Mantle,ZEN,Rare,$2.41,$13.43
21690,Island (236) - Full Art,ZEN,Land,$1.67,$25.29
1717,Emeria Angel,ZEN,Rare,$1.26,$6.06
1817,"Oran-Rief, the Vastwood",ZEN,Rare,$1.18,$14.95
1789,Malakir Bloodwitch,ZEN,Rare,$1.33,$2.58
21682,Forest (248) - Full Art,ZEN,Land,$1.26,$17.25
1898,Vines of Vastwood,ZEN,Common,$1.23,$6.79
1865,Spreading Seas,ZEN,Common,$1.67,$44.72
1833,Rampaging Baloths,ZEN,Mythic,$0.99,$11.88
1845,Scute Mob,ZEN,Rare,$0.99,$3.00
1812,Obsidian Fireheart,ZEN,Mythic,$1.00,$8.09
22685,Angel Token,ZEN,Token,$0.60,N/A
1760,Journey to Nowhere,ZEN,Common,$0.89,$7.90
21686,Island (234) - Full Art,ZEN,Land,$0.71,$10.80
21710,Swamp (238) - Full Art,ZEN,Land,$0.75,$8.31
1730,Goblin Bushwhacker,ZEN,Common,$0.79,$4.24
1736,Grappling Hook,ZEN,Rare,$0.79,$1.78
21698,Mountain (244) - Full Art,ZEN,Land,$0.63,$7.94
21678,Forest (246) - Full Art,ZEN,Land,$0.83,$9.41
1695,Brave the Elements,ZEN,Uncommon,$0.52,$22.00
1706,Cosi's Trickster,ZEN,Rare,$0.60,$3.32
22718,Merfolk Token,ZEN,Token,$0.57,N/A
21700,Mountain (245) - Full Art,ZEN,Land,$0.50,$4.91
1888,Turntimber Ranger,ZEN,Rare,$0.65,$0.61
1847,Sea Gate Loremaster,ZEN,Rare,$0.50,$2.08
1746,Harrow,ZEN,Common,$0.49,$8.99
1763,Kabira Evangel,ZEN,Rare,$0.69,$2.78
21688,Island (235) - Full Art,ZEN,Land,$0.45,$5.98
28016,Swamp (238a),ZEN,Land,$0.36,N/A
28012,Plains (230a),ZEN,Land,$0.29,N/A
21704,Plains (231) - Full Art,ZEN,Land,$0.49,$7.72
28019,Swamp (241a),ZEN,Land,$0.33,N/A
28002,Forest (248a),ZEN,Land,$0.40,N/A
21702,Plains (230) - Full Art,ZEN,Land,$0.45,$4.99
28018,Swamp (240a),ZEN,Land,$0.34,N/A
21714,Swamp (240) - Full Art,ZEN,Land,$0.59,$8.02
21680,Forest (247) - Full Art,ZEN,Land,$0.49,$4.75
1761,Jwar Isle Refuge,ZEN,Uncommon,$0.40,$1.34
28006,Island (236a),ZEN,Land,$0.40,N/A
21706,Plains (232) - Full Art,ZEN,Land,$0.48,$3.85
28003,Forest (249a),ZEN,Land,$0.29,N/A
1726,Gatekeeper of Malakir,ZEN,Uncommon,$0.50,$3.19
21694,Mountain (242) - Full Art,ZEN,Land,$0.48,$4.51
28017,Swamp (239a),ZEN,Land,$0.38,N/A
28001,Forest (247a),ZEN,Land,$0.26,N/A
28005,Island (235a),ZEN,Land,$0.27,N/A
1884,Trusty Machete,ZEN,Uncommon,$0.27,$0.89
22716,Kor Soldier Token,ZEN,Token,$0.28,N/A
28011,Mountain (245a),ZEN,Land,$0.31,N/A
28015,Plains (233a),ZEN,Land,$0.30,N/A
21716,Swamp (241) - Full Art,ZEN,Land,$0.43,$4.48
1705,Conqueror's Pledge,ZEN,Rare,$0.47,$1.04
28007,Island (237a),ZEN,Land,$0.27,N/A
21712,Swamp (239) - Full Art,ZEN,Land,$0.46,$5.76
1904,World Queller,ZEN,Rare,$0.45,$1.82
22687,Bird Token,ZEN,Token,$0.30,N/A
21684,Forest (249) - Full Art,ZEN,Land,$0.42,$3.27
21692,Island (237) - Full Art,ZEN,Land,$0.43,$6.12
28013,Plains (231a),ZEN,Land,$0.25,N/A
1826,Punishing Fire,ZEN,Uncommon,$0.35,$36.20
22734,Snake Token,ZEN,Token,$0.30,N/A
28000,Forest (246a),ZEN,Land,$0.25,N/A
1762,Kabira Crossroads,ZEN,Common,$0.38,$3.20
1768,Khalni Gem,ZEN,Uncommon,$0.33,$0.97
1776,Kor Skyfisher,ZEN,Common,$0.31,$3.95
28010,Mountain (244a),ZEN,Land,$0.36,N/A
1869,Summoning Trap,ZEN,Rare,$0.50,$2.06
22686,Beast Token,ZEN,Token,$0.29,N/A
1729,Gigantiform,ZEN,Rare,$0.40,$0.75
1737,Graypelt Refuge,ZEN,Uncommon,$0.37,$1.17
28004,Island (234a),ZEN,Land,$0.25,N/A
1825,Primal Bellow,ZEN,Uncommon,$0.34,$1.36
1827,Pyromancer Ascension,ZEN,Rare,$0.70,$4.21
1862,Sphinx of Lost Truths,ZEN,Rare,$0.42,$0.75
1675,Akoum Refuge,ZEN,Uncommon,$0.34,$0.92
1766,Kazandu Refuge,ZEN,Uncommon,$0.30,$0.68
21696,Mountain (243) - Full Art,ZEN,Land,$0.39,$3.24
21708,Plains (233) - Full Art,ZEN,Land,$0.38,$3.57
1850,Sejiri Refuge,ZEN,Uncommon,$0.39,$1.46
1894,Vampire Nighthawk,ZEN,Uncommon,$0.45,$2.80
1741,Guul Draz Specter,ZEN,Rare,$0.42,$0.90
28008,Mountain (242a),ZEN,Land,$0.34,N/A
1860,Spell Pierce,ZEN,Common,$0.44,$14.99
1892,Vampire Hexmage,ZEN,Uncommon,$0.43,$5.50
1679,Armament Master,ZEN,Rare,$0.39,$0.50
1682,Baloth Cage Trap,ZEN,Uncommon,$0.24,$0.44
1739,Greenweaver Druid,ZEN,Uncommon,$0.29,$1.20
1744,Hagra Diabolist,ZEN,Uncommon,$0.34,$1.34
1767,Kazuul Warlord,ZEN,Rare,$0.47,$1.24
1769,Khalni Heart Expedition,ZEN,Common,$0.30,$5.42
28009,Mountain (243a),ZEN,Land,$0.26,N/A
1877,Terra Stomper,ZEN,Rare,$0.44,$0.94
1722,Feast of Blood,ZEN,Uncommon,$0.40,$1.97
1745,Halo Hunter,ZEN,Rare,$0.40,$0.71
28014,Plains (232a),ZEN,Land,$0.28,N/A
1829,Quest for Pure Flame,ZEN,Uncommon,$0.41,$2.02
1832,Quest for the Holy Relic,ZEN,Uncommon,$0.30,$2.16
1861,Sphinx of Jwar Isle,ZEN,Rare,$0.35,$0.50
1689,Blood Seeker,ZEN,Common,$0.26,$3.18
1715,Electropotence,ZEN,Rare,$0.39,$0.77
1765,Kazandu Blademaster,ZEN,Uncommon,$0.39,$2.38
1779,Lavaball Trap,ZEN,Rare,$0.36,$0.72
22744,Wolf Token,ZEN,Token,$0.25,N/A
1673,Adventuring Gear,ZEN,Common,$0.25,$2.12
1681,Bala Ged Thief,ZEN,Rare,$0.45,$1.00
1712,Devout Lightcaster,ZEN,Rare,$0.40,$1.19
1834,Ravenous Trap,ZEN,Uncommon,$0.39,$1.99
1674,Aether Figment,ZEN,Uncommon,$0.25,$0.74
1696,Burst Lightning,ZEN,Common,$0.25,$2.38
1820,Piranha Marsh,ZEN,Common,$0.25,$1.63
1886,Turntimber Basilisk,ZEN,Uncommon,$0.25,$0.47
1700,Carnage Altar,ZEN,Uncommon,$0.26,$0.54
1721,Explorer's Scope,ZEN,Common,$0.25,$3.00
1732,Goblin Ruinblaster,ZEN,Uncommon,$0.25,$0.85
1742,Guul Draz Vampire,ZEN,Common,$0.25,$3.25
1772,Kor Duelist,ZEN,Uncommon,$0.25,$0.73
1813,Ondu Cleric,ZEN,Common,$0.25,$2.07
1716,Elemental Appeal,ZEN,Rare,$0.39,$0.89
1738,Grazing Gladehart,ZEN,Common,$0.25,$2.13
1824,Predatory Urge,ZEN,Rare,$0.37,$0.74
1831,Quest for the Gravelord,ZEN,Uncommon,$0.25,$0.62
1838,River Boa,ZEN,Uncommon,$0.25,$0.50
1725,Frontier Guide,ZEN,Uncommon,$0.25,$0.75
1750,Hellfire Mongrel,ZEN,Uncommon,$0.24,$0.43
1778,Landbind Ritual,ZEN,Uncommon,$0.24,$0.38
1803,Murasa Pyromancer,ZEN,Uncommon,$0.25,$1.36
1828,Quest for Ancient Secrets,ZEN,Uncommon,$0.25,$0.43
1866,Steppe Lynx,ZEN,Common,$0.25,$3.36
1895,Vampire's Bite,ZEN,Common,$0.24,$1.13
1680,Arrow Volley Trap,ZEN,Uncommon,$0.25,$0.44
1697,Caller of Gales,ZEN,Common,$0.21,$0.42
1755,Into the Roil,ZEN,Common,$0.25,$2.24
1771,Kor Cartographer,ZEN,Common,$0.25,$4.40
1790,Mark of Mutiny,ZEN,Uncommon,$0.25,$0.52
1800,Mold Shambler,ZEN,Common,$0.25,$1.02
1841,Runeflare Trap,ZEN,Uncommon,$0.25,$8.75
1883,Trapmaker's Snare,ZEN,Uncommon,$0.25,$1.21
1683,Baloth Woodcrasher,ZEN,Uncommon,$0.25,$0.65
1774,Kor Outfitter,ZEN,Common,$0.32,$6.26
1805,Needlebite Trap,ZEN,Uncommon,$0.25,$0.64
1807,Nimbus Wings,ZEN,Common,$0.24,$0.33
1809,Nissa's Chosen,ZEN,Common,$0.23,$0.94
1815,Oran-Rief Recluse,ZEN,Common,$0.24,$0.56
1846,Scythe Tiger,ZEN,Common,$0.22,$0.52
1852,Shepherd of the Lost,ZEN,Uncommon,$0.24,$0.75
1859,Soul Stair Expedition,ZEN,Common,$0.22,$0.49
1863,Spidersilk Net,ZEN,Common,$0.25,$1.48
1740,Grim Discovery,ZEN,Common,$0.25,$0.55
1794,Merfolk Wayfinder,ZEN,Uncommon,$0.25,$0.45
1830,Quest for the Gemblades,ZEN,Uncommon,$0.25,$0.45
1848,Seascape Aerialist,ZEN,Uncommon,$0.25,$0.50
1875,Teetering Peaks,ZEN,Common,$0.25,$0.45
1890,Unstable Footing,ZEN,Uncommon,$0.25,$0.45
22745,Zombie Giant Token,ZEN,Token,$0.25,N/A
1704,Cobra Trap,ZEN,Uncommon,$0.25,$0.45
1735,Gomazoa,ZEN,Uncommon,$0.25,$0.55
1777,Kraken Hatchling,ZEN,Common,$0.24,$0.48
1840,Ruinous Minotaur,ZEN,Common,$0.20,$0.33
1743,Hagra Crocodile,ZEN,Common,$0.20,$0.32
1754,Inferno Trap,ZEN,Uncommon,$0.24,$0.33
1780,Lethargy Trap,ZEN,Common,$0.21,$0.29
1781,Living Tsunami,ZEN,Uncommon,$0.23,$0.36
1810,Noble Vestige,ZEN,Common,$0.22,$0.29
1843,Savage Silhouette,ZEN,Common,$0.20,$0.30
1849,Seismic Shudder,ZEN,Common,$0.20,$0.31
1878,Territorial Baloth,ZEN,Common,$0.20,$0.28
1885,Tuktuk Grunts,ZEN,Common,$0.20,$0.35
1906,Zendikar Farguide,ZEN,Common,$0.20,$0.31
