id_karte,cardtype
19748,Instant
19934,Creature
360,Land
404,Land
395,Land
407,Land
378,Land
19695,Creature
362,Artifact
366,Sorcery
19936,Creature
19822,Creature
19876,Enchantment
19846,Enchantment
19921,Sorcery
19716,Instant
19898,Enchantment
19721,Sorcery
19781,Instant
386,Creature
396,Creature
19756,Creature
19779,Artifact
392,Creature
363,Creature
19710,Planeswalker
19752,Sorcery
19927,Creature
400,Sorcery
19932,Instant
19776,Enchantment
19749,Creature
19717,Enchantment
19778,Creature
19766,Creature
19861,Enchantment
19775,Instant
19880,Land
19788,Instant
19835,Enchantment
390,Sorcery
19783,Artifact
19751,Enchantment
19937,Enchantment
19928,Creature
385,Planeswalker
19849,Creature
1796,Instant
1799,Land
1844,Land
1691,Enchantment
1891,Land
1897,Land
1678,Land
1718,Land
1792,Land
1676,Instant
1714,Artifact
1692,Creature
1808,Planeswalker
1785,Enchantment
1899,Creature
1764,Creature
1858,Planeswalker
1811,Creature
1814,Creature
1756,Creature
1719,Artifact
1839,Creature
1748,Creature
1702,Planeswalker
1707,Land
1686,Artifact
1731,Creature
1787,Land
1837,Sorcery
1751,Creature
1685,Enchantment
1881,Artifact
1784,Creature
1783,Creature
1782,Creature
1677,Enchantment
1720,Artifact
1842,Sorcery
1690,Sorcery
1723,Creature
1709,Sorcery
1701,Enchantment
1717,Creature
1817,Land
1789,Creature
1898,Instant
1865,Enchantment
1833,Creature
1845,Creature
1812,Creature
1760,Enchantment
1730,Creature
1736,Artifact
1695,Instant
1706,Creature
1888,Creature
1847,Creature
1746,Instant
1763,Creature
1761,Land
1726,Creature
1884,Artifact
1705,Sorcery
1904,Creature
1826,Instant
1762,Land
1768,Artifact
1776,Creature
1869,Instant
1729,Enchantment
1737,Land
1825,Instant
1827,Enchantment
1862,Creature
1675,Land
1766,Land
1850,Land
1894,Creature
1741,Creature
1860,Instant
1892,Creature
1679,Creature
1682,Instant
1739,Creature
1744,Creature
1767,Creature
1769,Enchantment
1877,Creature
1722,Sorcery
1745,Creature
1829,Enchantment
1832,Enchantment
1861,Creature
1689,Creature
1715,Enchantment
1765,Creature
1779,Instant
1673,Artifact
1681,Creature
1712,Creature
1834,Instant
1674,Creature
1696,Instant
1820,Land
1886,Creature
1700,Artifact
1721,Artifact
1732,Creature
1742,Creature
1772,Creature
1813,Creature
1716,Sorcery
1738,Creature
1824,Enchantment
1831,Enchantment
1838,Creature
1725,Creature
1750,Creature
1778,Sorcery
1803,Creature
1828,Enchantment
1866,Creature
1895,Instant
1680,Instant
1697,Creature
1755,Instant
1771,Creature
1790,Sorcery
1800,Creature
1841,Instant
1883,Instant
1683,Creature
1774,Creature
1805,Instant
1807,Enchantment
1809,Creature
1815,Creature
1846,Creature
1852,Creature
1859,Enchantment
1863,Artifact
1740,Sorcery
1794,Creature
1830,Enchantment
1848,Creature
1875,Land
1890,Instant
1704,Instant
1735,Creature
1777,Creature
1840,Creature
1743,Creature
1754,Instant
1780,Instant
1781,Creature
1810,Creature
1843,Enchantment
1849,Instant
1878,Creature
1885,Creature
1906,Creature
1710,Sorcery
1711,Sorcery
1798,Enchantment
1801,Creature
1836,Instant
1853,Instant
1856,Instant
1864,Sorcery
1871,Creature
1882,Sorcery
1684,Sorcery
1786,Sorcery
1797,Creature
1851,Creature
1855,Creature
1687,Creature
1703,Creature
1818,Enchantment
1896,Creature
1900,Creature
18525,Enchantment
18549,Sorcery
18528,Sorcery
18500,Sorcery
18593,Sorcery
18592,Sorcery
18571,Creature
18494,Creature
18568,Creature
18577,Instant
18574,Enchantment
18503,Instant
18512,Sorcery
18529,Creature
18531,Instant
18566,Creature
18507,Creature
18570,Creature
18506,Instant
18514,Enchantment
18553,Enchantment
18560,Creature
18547,Creature
18513,Enchantment
18502,Enchantment
18584,Sorcery
18498,Enchantment
18509,Creature
18505,Instant
18518,Instant
18591,Creature
18541,Creature
18561,Creature
18565,Land
18508,Instant
18550,Land
18552,Sorcery
18526,Creature
18511,Creature
18558,Creature
18581,Land
18492,Creature
18499,Creature
18540,Enchantment
18548,Instant
18535,Land
18551,Creature
18493,Sorcery
18515,Creature
18586,Land
18522,Sorcery
18537,Creature
18562,Creature
18534,Creature
18545,Land
18501,Land
18504,Creature
18510,Land
18519,Creature
18530,Creature
18567,Creature
18569,Creature
18575,Enchantment
18580,Instant
18495,Creature
18497,Creature
18588,Creature
18556,Instant
18582,Sorcery
18583,Creature
18578,Instant
18557,Creature
18564,Creature
18573,Sorcery
18489,Creature
18579,Sorcery
18587,Creature
18516,Enchantment
18538,Instant
18539,Enchantment
18533,Creature
18572,Creature
18520,Instant
18585,Creature
18546,Creature
18496,Creature
18521,Instant
18544,Creature
18554,Creature
18559,Creature
18563,Instant
18589,Enchantment
18590,Creature
18542,Creature
18527,Creature
18555,Creature
18490,Creature
18491,Creature
18523,Creature
18532,Enchantment
74742,Creature
74780,Artifact
74747,Artifact
74723,Creature
74730,Planeswalker
74774,Land
74761,Land
74781,Land
74783,Artifact
74750,Land
74736,Creature
74741,Land
74745,Creature
74765,Planeswalker
74767,Creature
74751,Artifact
74769,Enchantment
74790,Creature
74754,Creature
74738,Planeswalker
74749,Creature
74752,Creature
74729,Creature
74294,Instant
74796,Creature
74766,Creature
74775,Creature
74744,Creature
74762,Enchantment
74801,Instant
74791,Instant
74792,Creature
74733,Creature
74776,Creature
74784,Creature
74740,Creature
74724,Sorcery
74725,Creature
74743,Sorcery
74786,Creature
74739,Creature
74758,Creature
74779,Instant
74734,Creature
74735,Artifact
74794,Enchantment
74728,Creature
74732,Sorcery
74746,Enchantment
74731,Sorcery
74770,Creature
74759,Enchantment
74764,Creature
74782,Creature
74793,Creature
74789,Sorcery
74772,Creature
74737,Artifact
74771,Creature
74768,Artifact
74748,Sorcery
74797,Sorcery
74763,Creature
74785,Enchantment
74800,Enchantment
74755,Enchantment
74726,Creature
74753,Creature
74798,Creature
74795,Creature
74760,Creature
74773,Enchantment
74757,Instant
74788,Enchantment
74799,Enchantment
74727,Creature
74778,Creature
74756,Creature
74777,Creature
74787,Sorcery
